ActivityID	ProjectID	Zip	AddressState	AddressCity	StartDate	EndDate	ActivityCount	TotalProjFund	ApproxFunding
9654	9630.0	10036	NY	New York	2018-10-24	2018-10-24	3	16070.0	5356.666666666667
11918	9630.0	12207	NY	Albany	2019-02-26	2019-02-26	3	16070.0	5356.666666666667
16342	9630.0	14604	NY	Rochester	2018-11-07	2018-11-07	3	16070.0	5356.666666666667
9822	9687.0	15260	PA	Pittsburgh	2018-11-14	2018-11-14	6	16338.0	2723.0
16275	9687.0	15456	PA	Lemont Furnace	2018-11-15	2018-11-15	6	16338.0	2723.0
16277	9687.0	15456	PA	Lemont Furnace	2018-12-14	2018-12-14	6	16338.0	2723.0
16281	9687.0	15260	PA	Pittsburgh	2018-11-14	2018-11-14	6	16338.0	2723.0
16665	9687.0	15456	PA	Lemont Furnace	2019-03-27	2019-03-27	6	16338.0	2723.0
16669	9687.0	15456	PA	Lemont Furnace	2019-03-27	2019-03-27	6	16338.0	2723.0
9857	9765.0	53705	WI	Madison	2019-02-08	2019-02-08	2	0.0	0.0
14477	9765.0	53705	WI	Madison	2019-06-21	2019-06-21	2	0.0	0.0
10028	9762.0	56537	MN	Fergus Falls	2019-03-27	2019-03-27	9	0.0	0.0
10851	9762.0	56560	MN	Moorhead	2019-01-17	2019-01-17	9	0.0	0.0
11424	9762.0	58701	ND	Minot	2018-10-09	2018-10-09	9	0.0	0.0
11440	9762.0	58701	ND	Minot	2018-10-04	2018-10-04	9	0.0	0.0
11442	9762.0	58501	ND	Bismarck	2018-10-29	2018-10-29	9	0.0	0.0
11480	9762.0	58701	ND	Minot	2018-10-05	2018-10-05	9	0.0	0.0
11490	9762.0	58501	ND	Bismarck	2018-12-08	2018-12-08	9	0.0	0.0
14491	9762.0	58203	ND	Grand Forks	2019-01-21	2019-01-21	9	0.0	0.0
14578	9762.0	58701	ND	Minot	2019-01-15	2019-01-15	9	0.0	0.0
10158	9782.0	62794	IL	Springfield	2019-01-17	2019-01-17	9	17293.0	1921.4444444444443
11484	9782.0	62794	IL	Springfield	2018-10-26	2018-10-26	9	17293.0	1921.4444444444443
11486	9782.0	62702	IL	Springfield	2018-10-10	2018-10-10	9	17293.0	1921.4444444444443
14909	9782.0	62794	IL	Springfield	2019-04-22	2019-04-22	9	17293.0	1921.4444444444443
14911	9782.0	62794	IL	Springfield	2019-04-22	2019-04-22	9	17293.0	1921.4444444444443
14944	9782.0	62794	IL	Springfield	2019-03-25	2019-03-25	9	17293.0	1921.4444444444443
14948	9782.0	62794	IL	Springfield	2019-03-20	2019-03-20	9	17293.0	1921.4444444444443
14951	9782.0	62794	IL	Springfield	2019-03-11	2019-03-11	9	17293.0	1921.4444444444443
14953	9782.0	62794	IL	Springfield	2019-02-14	2019-02-14	9	17293.0	1921.4444444444443
10163	9758.0	55455	MN	Minneapolis	2019-01-10	2019-01-10	10	0.0	0.0
10280	9758.0	56301	MN	St Cloud	2018-11-09	2018-11-09	10	0.0	0.0
10284	9758.0	55430	MN	Brooklyn Center	2019-04-12	2019-04-12	10	0.0	0.0
10483	9758.0	55425	MN	Bloomington	2018-10-25	2018-10-25	10	0.0	0.0
11482	9758.0	55455	MN	Minneapolis	2018-11-01	2018-11-01	10	0.0	0.0
14488	9758.0	55372	MN	Prior Lake	2018-11-10	2018-11-10	10	0.0	0.0
14494	9758.0	55406	MN	Minneapolis	2018-10-16	2018-10-16	10	0.0	0.0
14496	9758.0	55455	MN	Minneapolis	2018-10-23	2018-10-23	10	0.0	0.0
14799	9758.0	55455	MN	Minneapolis	2019-03-19	2019-03-19	10	0.0	0.0
14801	9758.0	55455	MN	Minneapolis	2019-04-29	2019-04-29	10	0.0	0.0
10251	9746.0	57366	SD	Parkston	2018-11-13	2018-11-13	1	0.0	0.0
10278	9755.0	40203	KY	Louisville	2018-11-10	2018-11-10	2	0.0	0.0
14608	9755.0	40511	KY	Lexington	2019-03-28	2019-03-28	2	0.0	0.0
10473	9785.0	61107	IL	Rockford	2018-11-01	2018-11-01	9	18279.0	2031.0
11474	9785.0	61107	IL	Rockford	2018-10-02	2018-10-02	9	18279.0	2031.0
11476	9785.0	61107	IL	Rockford	2018-10-18	2018-10-18	9	18279.0	2031.0
12061	9785.0	61111	IL	Loves Park	2018-10-02	2018-10-02	9	18279.0	2031.0
14371	9785.0	61107	IL	Rockford	2019-03-01	2019-03-01	9	18279.0	2031.0
14373	9785.0	61108	IL	Rockford	2019-03-12	2019-03-12	9	18279.0	2031.0
14375	9785.0	61107	IL	Rockford	2019-01-02	2019-01-02	9	18279.0	2031.0
14378	9785.0	61108	IL	Rockford	2019-03-01	2019-03-01	9	18279.0	2031.0
14381	9785.0	61110	IL	Rockford	2018-10-18	2018-10-18	9	18279.0	2031.0
10477	9752.0	52242	IA	Iowa City	2018-10-26	2018-10-26	3	0.0	0.0
10823	9752.0	51401	IA	Carroll	2018-11-02	2018-11-02	3	0.0	0.0
14666	9752.0	50321	IA	Des Moines	2019-04-23	2019-04-23	3	0.0	0.0
10780	9788.0	54010	WI	Ellsworth	2019-02-19	2019-02-19	37	49510.0	1338.1081081081081
10803	9788.0	54848	WI	Ladysmith	2019-02-15	2019-02-15	37	49510.0	1338.1081081081081
10985	9788.0	54935	WI	Fond du Lac	2018-11-01	2018-11-01	37	49510.0	1338.1081081081081
11013	9788.0	53948	WI	Mauston	2018-10-11	2018-10-11	37	49510.0	1338.1081081081081
14440	9788.0	54751	WI	Menomonie	2019-03-11	2019-03-11	37	49510.0	1338.1081081081081
14681	9788.0	54494	WI	Wisconsin Rapids	2019-03-05	2019-03-05	37	49510.0	1338.1081081081081
14684	9788.0	54007	WI	Deer Park	2019-02-28	2019-02-28	37	49510.0	1338.1081081081081
14686	9788.0	53711	WI	Madison	2018-11-29	2018-11-29	37	49510.0	1338.1081081081081
15208	9788.0	54751	WI	Menomonie	2019-03-11	2019-03-11	37	49510.0	1338.1081081081081
