ActivityID	Title	ProjectID	Zip	StartDate	EndDate	ActivityCount	TotalProjFund	ApproxFunding
9654	All of Us; New York-New Jersey Chapter of the Medical Library Association; Presentation; 10/24/2018	9630	10036	2018-10-24	2018-10-24	3	16070.0	5356.666666666667
11918	All of Us; The All of Us Research Program and Public Libraries; Training; Albany, NY; 2/26/2019	9630	12207	2019-02-26	2019-02-26	3	16070.0	5356.666666666667
16342	All of Us; The All of Us Research Program and Public Libraries; Workshop; Rochester, NY; 11/07/2018	9630	14604	2018-11-07	2018-11-07	3	16070.0	5356.666666666667
9822	2018 Shale & Public Health Conference	9687	15260	2018-11-14	2018-11-14	6	16338.0	2723.0
16275	Meeting with Associate Professor of Human Development and Family Studies/Psychology at Penn State Fayette	9687	15456	2018-11-15	2018-11-15	6	16338.0	2723.0
16277	Training with Penn State Nursing Faculty and Campus Nurse	9687	15456	2018-12-14	2018-12-14	6	16338.0	2723.0
16281	2018 Shale & Public Health Conference	9687	15260	2018-11-14	2018-11-14	6	16338.0	2723.0
16665	Training with Environmental Science and 'Common Hour' students at Penn State Fayette	9687	15456	2019-03-27	2019-03-27	6	16338.0	2723.0
16669	Training with Advanced Child Development students at Penn State Fayette	9687	15456	2019-03-27	2019-03-27	6	16338.0	2723.0
9857	Madison Country Day School Research Sessions Part 1	9765	53705	2019-02-08	2019-02-08	2	0.0	0.0
14477	Finding and appraising the medical literature  For VA nurses	9765	53705	2019-06-21	2019-06-21	2	0.0	0.0
10028	Viking Library System Training consumer health	9762	56537	2019-03-27	2019-03-27	9	0.0	0.0
10851	Moorhead Public Library Health Training	9762	56560	2019-01-17	2019-01-17	9	0.0	0.0
11424	Presentation to Minot Medical Coder Association Chapter (AAPC) on NLM & Other Resources 	9762	58701	2018-10-09	2018-10-09	9	0.0	0.0
11440	7 Things to Know About the All of Us Research Program 	9762	58701	2018-10-04	2018-10-04	9	0.0	0.0
11442	Beware the Scams, Donâ€™t Be a Victim! 	9762	58501	2018-10-29	2018-10-29	9	0.0	0.0
11480	Online Freebies for STEAM Teachers 	9762	58701	2018-10-05	2018-10-05	9	0.0	0.0
11490	60-minute joint training covering variety of fraud/scams including health scams	9762	58501	2018-12-08	2018-12-08	9	0.0	0.0
14491	NLM resources  for Altru Hospital nurses	9762	58203	2019-01-21	2019-01-21	9	0.0	0.0
14578	Library research tools and methods for radiologic tech students 15 Jan 2019	9762	58701	2019-01-15	2019-01-15	9	0.0	0.0
10158	SIU 3D Printing Program 17 Jan 2019	9782	62794	2019-01-17	2019-01-17	9	17293.0	1921.4444444444443
11484	SIU 3D Printing Program Overview 26 Oct 2018	9782	62794	2018-10-26	2018-10-26	9	17293.0	1921.4444444444443
11486	SIU 3D Printing Program Overview 10 Oct 2018	9782	62702	2018-10-10	2018-10-10	9	17293.0	1921.4444444444443
14909	SIU 3D Printing Program Overview 22 April 2019 session #2	9782	62794	2019-04-22	2019-04-22	9	17293.0	1921.4444444444443
14911	SIU 3D Printing Program Overview 22 April 2019 session #1	9782	62794	2019-04-22	2019-04-22	9	17293.0	1921.4444444444443
14944	SIU 3D Printing Program Overview 25 March 2019	9782	62794	2019-03-25	2019-03-25	9	17293.0	1921.4444444444443
14948	SIU 3D Printing Program Overview 20 March 2019	9782	62794	2019-03-20	2019-03-20	9	17293.0	1921.4444444444443
14951	SIU 3D Printing Program Overview 11 March 2019	9782	62794	2019-03-11	2019-03-11	9	17293.0	1921.4444444444443
14953	SIU 3D Printing Program Overview 14 February 2019	9782	62794	2019-02-14	2019-02-14	9	17293.0	1921.4444444444443
10163	Research Literacy Fairview Chaplains - Jan 2019	9758	55455	2019-01-10	2019-01-10	10	0.0	0.0
10280	Workshop on Water Resources	9758	56301	2018-11-09	2018-11-09	10	0.0	0.0
10284	Exhibit at the Minnesota Gerontological Society Annual Conference	9758	55430	2019-04-12	2019-04-12	10	0.0	0.0
10483	Exhibit: Many Faces of Community Health 2018	9758	55425	2018-10-25	2018-10-25	10	0.0	0.0
11482	Teaching PubMed to Eastview High School Students 	9758	55455	2018-11-01	2018-11-01	10	0.0	0.0
14488	11th Annual International Conference of Indigenous Archives, Libraries and Museums	9758	55372	2018-11-10	2018-11-10	10	0.0	0.0
14494	Teaching PubMed to High School Students	9758	55406	2018-10-16	2018-10-16	10	0.0	0.0
14496	Hands-on training of PubMed to high school students from the Rosemount / Eagan High Schools 	9758	55455	2018-10-23	2018-10-23	10	0.0	0.0
14799	PubMed Training for High School Students - Apple Valley School for Environmental Studies	9758	55455	2019-03-19	2019-03-19	10	0.0	0.0
14801	PubMed Workshop - Eagan High School 	9758	55455	2019-04-29	2019-04-29	10	0.0	0.0
10251	Presentation on Free Health Resources at the Parkston Public Library, Parkston SD	9746	57366	2018-11-13	2018-11-13	1	0.0	0.0
10278	Exhibit: Ryan White 550 Clinic Community Health Fair	9755	40203	2018-11-10	2018-11-10	2	0.0	0.0
14608	Kentucky Public Libraries Association Annual Meeting Presentation 2019	9755	40511	2019-03-28	2019-03-28	2	0.0	0.0
10473	Exhibit Graphic Medicine: Ill-Conceived & Well-Drawn Exhibit at UIC Crawford	9785	61107	2018-11-01	2018-11-01	9	18279.0	2031.0
11474	Evaluating Health Information on the Internet Class	9785	61107	2018-10-02	2018-10-02	9	18279.0	2031.0
11476	Evaluating Health Information on the Internet Class 10/18/18	9785	61107	2018-10-18	2018-10-18	9	18279.0	2031.0
12061	Finding and Evaluating Health Information on the Internet 02 Oct 2018	9785	61111	2018-10-02	2018-10-02	9	18279.0	2031.0
14371	Exhibit: Native Voices: Native Peoples' Concepts of Health and Illness	9785	61107	2019-03-01	2019-03-01	9	18279.0	2031.0
14373	Finding and Evaluating Health Information on the Internet	9785	61108	2019-03-12	2019-03-12	9	18279.0	2031.0
14375	Exhibit: Visible Proofs: Forensic Views of the Body	9785	61107	2019-01-02	2019-01-02	9	18279.0	2031.0
14378	Finding and Evaluating Health Information on the Internet Senior Living	9785	61108	2019-03-01	2019-03-01	9	18279.0	2031.0
14381	Finding and Evaluating Health Information on the Internet Winnebago County Health Department	9785	61110	2018-10-18	2018-10-18	9	18279.0	2031.0
10477	Clinical, EBP, and Patient Resources	9752	52242	2018-10-26	2018-10-26	3	0.0	0.0
10823	Iowa Family Leadership Training Institute Fall 2018--Carroll, IA 	9752	51401	2018-11-02	2018-11-02	3	0.0	0.0
14666	Exhibit - Iowa Governorâ€™s Conference on Public Health 	9752	50321	2019-04-23	2019-04-23	3	0.0	0.0
10780	Finding Information Training 2-19-19	9788	54010	2019-02-19	2019-02-19	37	49510.0	1338.1081081081081
10803	Finding Information Training 2-15-19	9788	54848	2019-02-15	2019-02-15	37	49510.0	1338.1081081081081
10985	Workshop: How to find trustworthy websites for health information and resources	9788	54935	2018-11-01	2018-11-01	37	49510.0	1338.1081081081081
11013	Pilot Workshop for Health Online Project	9788	53948	2018-10-11	2018-10-11	37	49510.0	1338.1081081081081
14440	How to find trustworthy websites for health information and resources 11 Mar 2019	9788	54751	2019-03-11	2019-03-11	37	49510.0	1338.1081081081081
14681	How to find trustworthy websites for health information and resources 5 Mar 2019	9788	54494	2019-03-05	2019-03-05	37	49510.0	1338.1081081081081
14684	How to find trustworthy websites for health information and resources 28 Feb 2019	9788	54007	2019-02-28	2019-02-28	37	49510.0	1338.1081081081081
14686	How to find trustworthy websites for health information and resources 29 Nov 2018	9788	53711	2018-11-29	2018-11-29	37	49510.0	1338.1081081081081
15208	Training to Seniors Retirement Organization	9788	54751	2019-03-11	2019-03-11	37	49510.0	1338.1081081081081
20042	L.E. Phillips Memorial Public Library Community-Based Workshop	9788	54701	2019-03-19	2019-03-19	37	49510.0	1338.1081081081081
20046	Milwaukee Central Library Community-Based Workshop	9788	53233	2019-04-09	2019-04-09	37	49510.0	1338.1081081081081
20048	Pepin Public Library Community-Based Workshop	9788	54759	2019-04-18	2019-04-18	37	49510.0	1338.1081081081081
20050	Amery Area Public Library Community-Based Workshop 	9788	54001	2019-04-23	2019-04-23	37	49510.0	1338.1081081081081
20052	Madison College Community-Based Workshop	9788	53701	2019-04-24	2019-04-24	37	49510.0	1338.1081081081081
20054	Waukesha Senior Center Community-Based Workshop	9788	53186	2019-05-01	2019-05-01	37	49510.0	1338.1081081081081
20056	Hudson Senior Center Community-Based Workshop	9788	54016	2019-05-23	2019-05-23	37	49510.0	1338.1081081081081
20064	Cedarburg Public Library Community-Based Workshop	9788	53012	2019-05-29	2019-05-29	37	49510.0	1338.1081081081081
20066	UW-Madison Workplace ESL Community-Based Workshop	9788	53706	2019-06-13	2019-06-13	37	49510.0	1338.1081081081081
20068	7 Oaks Apartments Community-Based Workshop	9788	53713	2019-06-25	2019-06-25	37	49510.0	1338.1081081081081
20070	Literacy Network of Dane County Community-Based Workshop	9788	53713	2019-07-10	2019-07-10	37	49510.0	1338.1081081081081
20072	Shorewood Public Library Community-Based Workshop	9788	53211	2019-07-15	2019-07-15	37	49510.0	1338.1081081081081
20074	Health Online: Finding Information You Can Trust Community-Based Workshop	9788	54153	2019-07-24	2019-07-24	37	49510.0	1338.1081081081081
20076	Cobb Public Library Community-Based Workshop	9788	53526	2019-08-19	2019-08-19	37	49510.0	1338.1081081081081
20078	Milwaukee Villard Square Library Community-Based Workshop	9788	53209	2019-08-07	2019-08-07	37	49510.0	1338.1081081081081
