ProjectID	MeanFunding	Title	ProjectSummary
9630	16070.0	All of Us - The All of Us Research Program and Public Libraries	The National Institutes of Health and the National Library of Medicine have partnered to support public libraries in meeting the health information needs of their patrons and engaging their communities around the All of Us Research Program. This preconference will discuss programming ideas, funding opportunities, and community engagement for public libraries around issues of health literacy, precision medicine, and All of Us. Participants will learn about the All of Us Research Program and its goal of addressing health disparities and advancing medical research. Attendees will explore how to create fun and informative health-related programming through hands-on interaction and health resources for their communities.     The National Institutes of Health&#039;s All of Us Research Program is an unprecedented effort to gather data from one million or more people mirroring the diversity of the United States to accelerate research and improve health. By taking into account individual differences in lifestyle, environment, and biology, researchers will uncover paths toward delivering precision medicine. This preconference will provide an overview of the All of Us Research Program, precision medicine, and the National Institutes of Health&#039;s partnership with the National Library of Medicine, and how public libraries can support the health literacy and knowledge of their patrons.  
9651	4941.0	Seeds of Hope	The Clinton-Essex-Franklin Library System (CEFLS) in Plattsburgh, New York is seeking an award to raise awareness regarding the topic of domestic violence among residents in Clinton, Essex, and Franklin counties. CEFLS plans to collaborate with STOP Domestic Violence to coordinate a series of events in our shared service area. This will include hosting the National Library of Medicine (NLM) traveling exhibit Confronting Violence, Improving Women&#039;s Lives; providing viewings of the feature documentary, Home Truth, followed by a training session on resources; offering book club and resource discussions addressing domestic violence; and coordinating an awareness event for youth.
9683	20000.0	Resources and Services for Community Health Nursing Clinics Across the State of Nevada	"To support community health nurses across the State of Nevada by providing instruction and promotion of freely available health information, with a focus on National Library of Medicine (NLM) resources. This award would allow us to re-visit the nursing clinics across the state. Funding will be used for visits to gather input from the nurses and to strengthen our online portal that was developed during the first year of funding from NNLM PSR.  

This project will promote access to quality information and provide greater support for rural care providers in Nevada. We will again provide instruction and support for evidence-based public health practice through in-person instruction. We will promote our online modules, which cover a variety of information resources and topics, and each module will offer Continuing Education (CE) credit for nurses. 

Providing health services in remote areas is a challenge. Public Health Nursing is provided through the Nevada Division of Public and Behavioral Health to Nevadaâ€™s 10 frontier and rural counties. In addition to providing essential services such as immunizations, nurses in these areas serve as school nurses in school districts that lack such personnel. The area of responsibility covers more than 96,000 square miles, with nurses averaging 1,000 miles per month of travel through the rural counties to support the health and wellness of Nevadans. We plan to use funding during this period to strengthen and enhance our relationships with and services to this important group of care providers."
9687	16338.0	Clinical and Public Health Approaches for Communities Impacted by Shale Gas Development	Southwest Pennsylvania Environmental Health Project is requesting a grant award in the amount of $16,338.00 to work with Penn State Fayette, Eberly Campus, Nursing Program, to provide information relating to the potential health effects of exposure to unconventional oil and gas development (UOGD) to individuals in proximity to these activities. To achieve this goal, we will work with nursing faculty, the campus nurse, and students (BSN and RN to BSN) to educate and disseminate information about UOGD. Along with many of our health-related handouts, we will engage students and faculty in discussion of our Environmental Health Medical Toolkit, a collection of public health materials and resources for use by health care professionals; the Shale Gas &amp; Oil Health Registry &amp; Resource Network, currently the only nationwide registry documenting impacts from UOGD; and our Protecting Your Health and Where to Turn for Help: Resources for Shale Gas Communities toolkit. We will provide education and instruction to students and faculty on the following NLM resources: MedlinePlus; ToxNet; and ToxTown.
9698	40445.5	Arizona Outreach (2016-2021)	This project focuses on key health priorities couched in the framework of social determinants of health that contribute to health disparities in Arizona communities. Outreach activities will connect with the following partners: healthcare providers and public health professionals embedded in underserved communities; promotoras de salud (community health workers); educators and school associates; Hispanic, Spanish-speaking, and border-region populations; Native American and tribal communities; public librarians; and health agency and community health organization collaborators. Although programs will target specific populations, community members throughout Arizona will be encouraged to participate in activities.
9701	9000.0	Supporting the RN Explorers Program	"This project will provide funding to allow the Walter W. Stiern Library at California State University, Bakersfield (CSUB), to support the ongoing RN Explorers Program. 
The RN Explorers Program is part of the Boy Scouts of America Learning for Life and career education for young men and women ages 14 through 20. Currently, CSUB nursing students, staff, and faculty meet regularly with 91 high school students interested in nursing to introduce them to the profession and basic nursing concepts, tour nursing education and local healthcare facilities, and offer health education that participants can use to improve their lives. 
The CSUB Library will develop a tailored training program for RN students who are involved in RN Explorers and provide relevant resources for this program. The program is anticipated to recruit 100 high school students by early 2019.
The primary goal of the project is to provide CSUB nursing students with training on the resources needed to be involved in the RN Explorers Program. Information training will be provided regarding NLM resources, including PubMed, MedlinePlus, and attendant health information sources relevant to the nursing profession. High school students who are recruited to the RN Explorers Program will also have the opportunity to visit the CSUB Library and will be given access to the health and nursing collection of the CSUB Library."
9704	9000.0	HIV/AIDS Community Outreach: Pilot Project	"The proposed pilot project aims to promote awareness and demonstrate the use of National Library of Medicine HIV/AIDS health information resources and MedlinePlus. At Charles R. Drew University (CDU), HIV/AIDS is one of five major areas of research, and this project will provide an avenue to disseminate reliable health information to many people who are impacted by HIV/AIDS in South Los Angeles. The Library Director will partner with two CDU HIV/AIDS faculty members who have a long history working in the local community. This pilot project will provide insight on how to develop workshops and training opportunities for people in the community who have a desire to learn more about the treatment, prevention, and management of HIV/AIDS.
 
The primary goal of the project is to increase HIV/AIDSâ€“related knowledge and awareness among people living with HIV/AIDS and others at risk among the racial/ethnic minority populations of South Los Angeles. The CDU Health Sciences Library will partner with CDU HIV/AIDS faculty to provide assistance in demonstrating HIV/AIDS information resources that are available from the National Library of Medicine. During the project period, HIV/AIDS information will be disseminated from the Oasis Clinic at CDU, including materials that are available from AIDSinfo, AIDSource, and MedlinePlus. In addition, materials will distributed on the CDU Mobile HIV van to participants within South Los Angeles."
9707	8000.0	Becoming a Healthier You: Show Low Public Library	"The proposed project aims to promote wellness in the Show Low, Arizona, area by providing resources for healthy cooking, exercise and hands-on classes, and by forming a â€œHealthy Livingâ€ club. The Show Low Public Library will make available for check-out a variety of kitchen equipment needed to encourage healthy cooking.   
 
Objectives include developing a Healthy Living Club for families and young children. This club will provide information on how to be more active, healthy recipes that are kid-friendly, and exercise opportunities. Staff will create a special Healthy Living Section in the Show Low Public Library that offers information resources, kitchen equipment, and other wellness supplies for check-out. The goal is to have a well-attended Healthy Living Club and for families to become a support system for each other. Outcomes will also focus on direct interaction with young families to evaluate changes in eating and exercise habits."
9711	2000.0	American University of Health Sciences Training Project	During a four- to six-hour mini-academy lesson at the American University of Health Sciences (AUHS), students will learn about First Aid, CPR, blood pressure, and body mass index (BMI). Participants will learn the fundamentals of behavior change and develop a personal project to address how they can become â€œhealth advocatesâ€ in their own home and community. Participants will have the opportunity to show how information learned during the lesson could be used to reduce healthcare disparities in their community.  Data gathered during the lesson will be presented at a gala event attended by family, friends, and community partners. Library staff will provide instruction using National Library of Medicine resources (e.g., MedlinePlus, PubMed, HealthReach) to illustrate basic wellness concepts and to collect data for the project presentation.
9714	2000.0	Community Memorial Health System Outreach Project	"This project will allow the Community Memorial Health System (CMHS) Medical Library to purchase, install, and manage a dynamic digital signage system. The project will increase the capacity of the CMHS Medical Library to provide awareness of Library resources that are directly relevant to academic achievement (e.g., new textbooks, journals, databases; class teaching schedules; CMHS graduate medical education news; National Library of Medicine resources and services) and improved patient care outcomes.  

This project is multidisciplinary in scope and will impact every member of the healthcare team. The primary goal of the project is to increase awareness of and access to high-quality, evidenced-based biomedical and health information for all employees. Another objective of this project is to develop a stronger sense of engagement and commitment within the CMHS community."
9717	2000.0	Healthy Communities @ The Library	"The proposed project aims to provide health kits to families in underserved communities, and to promote awareness and demonstrate the use of National Library of Medicine health information resources. At Sacramento Public Library, nurses or nursing students will accompany staff on bookmobile routes and present materials/provide services at a canopied resource table set up in front of the bookmobile. Nurses will provide instruction using the information in the IHA resource What To Do When Your Child Gets Sick in conjunction with digital thermometers and calibrated medicine spoons. Library staff will provide handouts and instruction on how to search for and find information on quality resources such as MedlinePlus, Healthfinder.gov, and Kidshealth.org. We will also promote these resources with MedlinePlus bookmarks and InformationRx post-it note pads. Every participant will receive All of Us brochures and bookmarks for the All of Us Research Program in either English or Spanish depending on preference. (Bookmarks, InfoRx pads, brochures and All of Us materials to be provided by NNLM PSR.)

Library staff and health professional students and volunteers will receive guidance for distribution of the All of Us resources and training materials on the web-based health resources. Students from the UC Davis Betty Irene Moore School of Nursing are professional health educators and patient care experts, and will provide basic health services (such as blood pressure checks). The student nurses will also provide instructions for use of the kit contents (thermometers and measuring spoons) along with the corresponding content in the IHA books and other print materials."
9721	2000.0	Native Voices Traveling Exhibit  	The Savitt Medical Library will be a host site for the National Library of Medicineâ€™s (NLM) Native Voices Traveling Exhibit. The Library will use funding to work with Native American communities in Northern Nevada to plan events surrounding the exhibit, including an opening reception and a speaker event. The speaker event will be on â€œFood Sovereignty and Native American Nutrition.â€ These events and the exhibit will be promoted to local Native American communities, the University community, and to Northern Nevada clinicians. During the speaker events, a display and promotional materials for NLM online resources (e.g., MedlinePlus, HealthReach, ClinicalTrials.gov) will be featured. 
9725	72314.0	Increasing Awareness of, and Engagement in, Citizen Science through Libraries 	Citizen Science Game Day is a project for public libraries and other NNLM members to promote citizen science and to engage with library users. The project includes an embeddable Project Finder that libraries can implement on their websites. An NNLM-branded portal will be created on SciStarter to help orient people (participants and librarians) to the goals of Citizen Science Game Day, feature health and wellness related projects/events and links to the embeddable Project Finder, and provide information and links to NNLM-supported resources available to the public and related to citizen science. The project will provide a Librarianâ€™s Guide to citizen science and materials and customer support to organize an in-person Citizen Science Game Day catch-a-thon and meet-ups. This project will concentrate on eight public libraries and one university library located in California and Arizona, and tools will be made available to other NNLM members and public libraries nationwide to support engagement in Citizen Science Game Day.
